Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 23.18      7.21     7.21 678162655     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
 18.21     12.88     5.67 675879355     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
 12.15     16.66     3.78      861     0.00     0.04  Matrix::operator*(Vector const&) const
 11.86     20.35     3.69 677020575     0.00     0.00  std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&)
 10.82     23.72     3.37 1356327485     0.00     0.00  std::complex<double>::real[abi:cxx11]() const
 10.62     27.03     3.31 1356327485     0.00     0.00  std::complex<double>::imag[abi:cxx11]() const
 10.29     30.23     3.20 689729175     0.00     0.00  Vector::operator[](int) const
  0.68     30.44     0.21  7784462     0.00     0.00  std::complex<double>::complex(double, double)
  0.68     30.65     0.21  1548750     0.00     0.00  std::complex<double>::operator=(double)
  0.64     30.85     0.20     1720     0.00     0.00  std::complex<double>& std::complex<double>::operator/=<double>(std::complex<double> const&)
  0.34     30.95     0.11     1720     0.00     0.00  std::complex<double> std::operator/<double>(std::complex<double> const&, std::complex<double> const&)
  0.26     31.03     0.08  2287603     0.00     0.00  Vector::Size() const
  0.16     31.08     0.05     7046     0.00     0.00  Vector::Vector(Vector const&)
  0.05     31.10     0.02  1522200     0.00     0.00  double std::abs<double>(std::complex<double> const&)
  0.03     31.11     0.01  1522200     0.00     0.00  std::complex<double> std::operator+<double>(std::complex<double> const&, std::complex<double> const&)
  0.03     31.12     0.01     1720     0.00     0.00  Vector::InnerProduct(Vector const&) const
  0.03     31.13     0.01      865     0.00     0.00  Vector::Vector(int)
  0.02     31.13     0.01  1522200     0.00     0.00  std::complex<double>::__rep() const
  0.00     31.13     0.00  1522200     0.00     0.00  std::__complex_abs(doublecomplex )
  0.00     31.13     0.00  1142535     0.00     0.00  std::complex<double>& std::complex<double>::operator-=<double>(std::complex<double> const&)
  0.00     31.13     0.00   783225     0.00     0.00  Matrix::operator[](int) const
  0.00     31.13     0.00     7911     0.00     0.00  Vector::~Vector()
  0.00     31.13     0.00     5676     0.00     0.00  operator new(unsigned long, void*)
  0.00     31.13     0.00     4651     0.00     0.00  std::complex<double>&& std::forward<std::complex<double> >(std::remove_reference<std::complex<double> >::type&)
  0.00     31.13     0.00     4214     0.00     0.00  std::move_iterator<std::complex<double>*>::base() const
  0.00     31.13     0.00     3895     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long)
  0.00     31.13     0.00     2906     0.00     0.00  Vector* std::__addressof<Vector>(Vector&)
  0.00     31.13     0.00     2598     0.00     0.00  Vector&& std::forward<Vector>(std::remove_reference<Vector>::type&)
  0.00     31.13     0.00     2580     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.00     31.13     0.00     2580     0.00     0.00  operator*(std::complex<double> const&, Vector const&)
  0.00     31.13     0.00     2107     0.00     0.00  bool std::operator==<std::complex<double>*>(std::move_iterator<std::complex<double>*> const&, std::move_iterator<std::complex<double>*> const&)
  0.00     31.13     0.00     2107     0.00     0.00  bool std::operator!=<std::complex<double>*>(std::move_iterator<std::complex<double>*> const&, std::move_iterator<std::complex<double>*> const&)
  0.00     31.13     0.00     2045     0.00     0.00  std::move_iterator<std::complex<double>*>::operator*() const
  0.00     31.13     0.00     2045     0.00     0.00  std::move_iterator<std::complex<double>*>::operator++()
  0.00     31.13     0.00     2045     0.00     0.00  void std::_Construct<std::complex<double>, std::complex<double> >(std::complex<double>*, std::complex<double>&&)
  0.00     31.13     0.00     2045     0.00     0.00  std::complex<double>* std::__addressof<std::complex<double> >(std::complex<double>&)
  0.00     31.13     0.00     1884     0.00     0.00  void std::_Destroy<Vector>(Vector*)
  0.00     31.13     0.00     1781     0.00     0.00  std::complex<double> const& std::forward<std::complex<double> const&>(std::remove_reference<std::complex<double> const&>::type&)
  0.00     31.13     0.00     1291     0.00     0.00  Vector::operator-(Vector const&) const
  0.00     31.13     0.00     1290     0.00     0.00  Vector::operator+(Vector const&) const
  0.00     31.13     0.00     1028     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00     31.13     0.00     1022     0.00     0.00  void std::_Construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00     31.13     0.00     1011     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::size() const
  0.00     31.13     0.00      885     0.00     0.00  void __gnu_cxx::new_allocator<std::complex<double> >::construct<std::complex<double>, std::complex<double> const&>(std::complex<double>*, std::complex<double> const&)
  0.00     31.13     0.00      885     0.00     0.00  void std::allocator_traits<std::allocator<std::complex<double> > >::construct<std::complex<double>, std::complex<double> const&>(std::allocator<std::complex<double> >&, std::complex<double>*, std::complex<double> const&)
  0.00     31.13     0.00      885     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::push_back(std::complex<double> const&)
  0.00     31.13     0.00      862     0.00     0.00  void __gnu_cxx::new_allocator<std::complex<double> >::construct<std::complex<double>, std::complex<double> >(std::complex<double>*, std::complex<double>&&)
  0.00     31.13     0.00      862     0.00     0.00  void std::allocator_traits<std::allocator<std::complex<double> > >::construct<std::complex<double>, std::complex<double> >(std::allocator<std::complex<double> >&, std::complex<double>*, std::complex<double>&&)
  0.00     31.13     0.00      862     0.00     0.00  void std::vector<std::complex<double>, std::allocator<std::complex<double> > >::emplace_back<std::complex<double> >(std::complex<double>&&)
  0.00     31.13     0.00      862     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::push_back(std::complex<double>&&)
  0.00     31.13     0.00      862     0.00     0.00  std::remove_reference<std::complex<double>&>::type&& std::move<std::complex<double>&>(std::complex<double>&)
  0.00     31.13     0.00      860     0.00     0.00  void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector>(Vector*, Vector&&)
  0.00     31.13     0.00      860     0.00     0.00  Vector::Norm() const
  0.00     31.13     0.00      860     0.00     0.00  void std::allocator_traits<std::allocator<Vector> >::construct<Vector, Vector>(std::allocator<Vector>&, Vector*, Vector&&)
  0.00     31.13     0.00      860     0.00     0.00  void std::vector<Vector, std::allocator<Vector> >::emplace_back<Vector>(Vector&&)
  0.00     31.13     0.00      860     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::push_back(Vector&&)
  0.00     31.13     0.00      860     0.00     0.00  std::remove_reference<Vector&>::type&& std::move<Vector&>(Vector&)
  0.00     31.13     0.00      124     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::base() const
  0.00     31.13     0.00      124     0.00     0.00  std::move_iterator<std::complex<double>*>::move_iterator(std::complex<double>*)
  0.00     31.13     0.00      124     0.00     0.00  std::move_iterator<std::complex<double>*> std::__make_move_if_noexcept_iterator<std::complex<double>, std::move_iterator<std::complex<double>*> >(std::complex<double>*)
  0.00     31.13     0.00       96     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator()
  0.00     31.13     0.00       93     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::max_size() const
  0.00     31.13     0.00       80     0.00     0.00  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::base() const
  0.00     31.13     0.00       80     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::size() const
  0.00     31.13     0.00       80     0.00     0.00  Vector const* std::__make_move_if_noexcept_iterator<Vector, Vector const*>(Vector*)
  0.00     31.13     0.00       62     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::__normal_iterator(std::complex<double>* const&)
  0.00     31.13     0.00       62     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator() const
  0.00     31.13     0.00       62     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::max_size() const
  0.00     31.13     0.00       62     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_M_get_Tp_allocator()
  0.00     31.13     0.00       62     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::max_size(std::allocator<std::complex<double> > const&)
  0.00     31.13     0.00       62     0.00     0.00  std::complex<double>* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::complex<double>*>, std::complex<double>*>(std::move_iterator<std::complex<double>*>, std::move_iterator<std::complex<double>*>, std::complex<double>*)
  0.00     31.13     0.00       62     0.00     0.00  std::complex<double>* std::uninitialized_copy<std::move_iterator<std::complex<double>*>, std::complex<double>*>(std::move_iterator<std::complex<double>*>, std::move_iterator<std::complex<double>*>, std::complex<double>*)
  0.00     31.13     0.00       62     0.00     0.00  std::complex<double>* std::__uninitialized_copy_a<std::move_iterator<std::complex<double>*>, std::complex<double>*, std::complex<double> >(std::move_iterator<std::complex<double>*>, std::move_iterator<std::complex<double>*>, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00     31.13     0.00       62     0.00     0.00  std::complex<double>* std::__uninitialized_move_if_noexcept_a<std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> > >(std::complex<double>*, std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00     31.13     0.00       60     0.00     0.00  __gnu_cxx::new_allocator<Vector>::max_size() const
  0.00     31.13     0.00       51     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     31.13     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::__normal_iterator(Vector* const&)
  0.00     31.13     0.00       40     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_M_get_Tp_allocator() const
  0.00     31.13     0.00       40     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::max_size() const
  0.00     31.13     0.00       40     0.00     0.00  std::allocator_traits<std::allocator<Vector> >::max_size(std::allocator<Vector> const&)
  0.00     31.13     0.00       40     0.00     0.00  Vector* std::__uninitialized_copy<false>::__uninit_copy<Vector const*, Vector*>(Vector const*, Vector const*, Vector*)
  0.00     31.13     0.00       40     0.00     0.00  Vector* std::uninitialized_copy<Vector const*, Vector*>(Vector const*, Vector const*, Vector*)
  0.00     31.13     0.00       40     0.00     0.00  Vector* std::__uninitialized_copy_a<Vector const*, Vector*, Vector>(Vector const*, Vector const*, Vector*, std::allocator<Vector>&)
  0.00     31.13     0.00       40     0.00     0.00  Vector* std::__uninitialized_move_if_noexcept_a<Vector*, Vector*, std::allocator<Vector> >(Vector*, Vector*, Vector*, std::allocator<Vector>&)
  0.00     31.13     0.00       34     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00     31.13     0.00       34     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_deallocate(std::complex<double>*, unsigned long)
  0.00     31.13     0.00       34     0.00     0.00  void std::_Destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00     31.13     0.00       34     0.00     0.00  void std::_Destroy<std::complex<double>*, std::complex<double> >(std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00     31.13     0.00       31     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::deallocate(std::complex<double>*, unsigned long)
  0.00     31.13     0.00       31     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::allocate(unsigned long, void const*)
